Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,distance
Wellawatte,6.8740921,79.8604934,Arpico,6.869030513716647,79.8622937507378,Supermarket,0.5597616971863527
Cinnamon Gardens,6.9116652,79.86456779999997,Arpico Crust Cafe,6.917395954855684,79.86129017870971,Café,0.6337663020722878
Hulftsdorp,6.9362635,79.8639835,Arpico Kotahena,6.944029707692633,79.86410105765698,Shopping Mall,0.858868708622038
Maharagama,6.8510951,79.92120109999998,Arpico Super Center,6.852462973512063,79.91768009193626,Department Store,0.1512732424089992
Battaramulla,6.897994099999999,79.9222869,Arpico Super Center,6.902214688500908,79.91713922046002,Department Store,0.4667561637392612
Kottawa,6.8411652,79.9654324,Arpico Super Centre,6.8395596887795,79.97048079340782,Convenience Store,0.17755353171898672
Boralesgamuwa,6.840989100000002,79.9017187,Arpico Super Centre,6.841131235895836,79.90245616077917,Shopping Mall,0.01571881323347573
Cinnamon Gardens,6.9116652,79.86456779999997,Arpico Super Centre,6.9173748163520195,79.86128078928627,Department Store,0.631428586842724
Wattala,6.9906677,79.8931709,Arpico Super Centre,6.9885899141641685,79.89236470215717,Supermarket,0.22978383197262814
Kadawatha,7.0046719,79.9542002,Arpico Super Centre,7.001405385061696,79.9497040313191,Convenience Store,0.3612464448249131
Piliyandala,6.8017575,79.9227313,Arpico Super Store,6.798572143250613,79.92975495829596,Department Store,0.35226810855166363
Kalubowila,6.863141400000001,79.87868329999998,Arpico Supercenter,6.866679485408683,79.88358799104115,Supermarket,0.391277365248813
Ragama,7.028003699999998,79.923,Arpico Supermarket Ragama,7.023493916290457,79.92942762542171,Market,0.49874099300711816
Dalugama,6.9752231,79.92066940000002,Arpico Superstore,6.976183203169158,79.92512650056565,Shopping Mall,0.10617843838279649
Ja-Ela,7.0667984,79.9040932,Ash - Roof Top,7.073392,79.89801,Gym,0.7291934710340692
Borella,6.9121796,79.8828828,August by Mama Aid,6.9114130000000005,79.87942,Mediterranean Restaurant,0.08477856822607617
Havelock Town,6.8866519,79.8646835,Aumrith Indian Restaurant,6.8920737124657405,79.86228516331494,Indian Restaurant,0.59959961764231
Thalawathugoda,6.8758648,79.9391936,Austasia Sport Club,6.875092264564804,79.94092047403166,Gym,0.08543484051993035
Thalawathugoda,6.8758648,79.9391936,Austasia Sport Complex,6.8748874731411584,79.94102017453575,Gym Pool,0.10808276249937285
Cinnamon Gardens,6.9116652,79.86456779999997,Aviraté Café,6.9083344383598355,79.8650880349358,Coffee Shop,0.36835009354883974
Thalawathugoda,6.8758648,79.9391936,Avishka Food Cafe,6.874471000000001,79.93705200000001,Asian Restaurant,0.15414060475454436
Bambalapitiya,6.904361,79.8540397,Awanhala By Ceylon Hotel Corporation,6.907712155839665,79.85069846710627,Asian Restaurant,0.3706054337182813
Boralesgamuwa,6.840989100000002,79.9017187,B-leaf,6.848422024359543,79.89701531168728,Asian Restaurant,0.8220074652144883
Wattala,6.9906677,79.8931709,Badminton Courts,6.997002853725974,79.88774100612088,Tennis Court,0.7006093378585002
Bambalapitiya,6.904361,79.8540397,Bakes By Bella,6.897454752310178,79.85511664294863,Dessert Shop,0.763764054505529
Fort (Colombo),6.9337011,79.8500302,Bally's Casino,6.9323966918862805,79.85035121787004,Casino,0.14425508849216423
Wellawatte,6.8740921,79.8604934,Barcode,6.865957352188479,79.86242748287259,Men's Store,0.8996231013321037
Bambalapitiya,6.904361,79.8540397,Barefoot Gallery,6.896632068720822,79.85378699491079,Art Gallery,0.8547448707879626
Pamankada,6.8776324,79.8713074,Barista,6.877262386583445,79.8730394634796,Coffee Shop,0.04091985737708561
Bambalapitiya,6.904361,79.8540397,Barista,6.89822505351773,79.86051773245781,Coffee Shop,0.6785762181537951
Rajagiriya,6.909410799999999,79.8942538,Barista,6.907557145604132,79.90032861411277,Coffee Shop,0.20499627429356626
Fort (Colombo),6.9337011,79.8500302,Barista,6.93260094826066,79.8438548698997,Coffee Shop,0.12166628337014908
Havelock Town,6.8866519,79.8646835,Baskin Robins,6.887128585392616,79.85971771460355,Ice Cream Shop,0.052716753198994
Cinnamon Gardens,6.9116652,79.86456779999997,Baskin-Robbins,6.918064014163197,79.86298721563398,Ice Cream Shop,0.7076472382334593
Battaramulla,6.897994099999999,79.9222869,Baththaramulla,6.8978460028495165,79.91515166916497,Garden,0.01637810734047219
Batuwatta,7.0622539999999985,79.9412368,Batuwatta Railway Station,7.055062380495532,79.93707576427171,Train Station,0.7953287161360022
Union Place,6.9229583,79.8523572,Bavarian German Restaurant,6.920462299160604,79.84671879329926,German Restaurant,0.27603374037924955
Wellawatte,6.8740921,79.8604934,Beach Wadiya Seafoood,6.8780298716443475,79.85651076655097,Seafood Restaurant,0.43547892468920096
