Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,distance
Kollupitiya,6.912815400000001,79.8506815,Cinnamon Red,6.912107501871381,79.85533169483651,Bed & Breakfast,0.0782867094524929
Fort (Colombo),6.9337011,79.8500302,City Football League Ground,6.926256255023082,79.85276825742427,Soccer Field,0.8233286969015088
Ratmalana,6.8195453,79.8800832,City Pharmacy,6.8203789511696895,79.88093895118884,Pharmacy,0.0921934288074867
Kahathuduwa,6.782298,79.99479559999997,City of life,6.789217948913574,79.99382781982422,Pizza Place,0.7652756224556686
Kiribathgoda,6.9778284,79.92715229999997,Clarion Hotel,6.9831573982542325,79.93297627289655,Hotel,0.5893375269716031
Wattala,6.9906677,79.8931709,Clements Restaurant & Banquet,6.98978097662699,79.89369358230283,Comfort Food Restaurant,0.09806337889793636
Bambalapitiya,6.904361,79.8540397,Clock Inn Colombo,6.897382209846373,79.85421287897451,Hostel,0.7717865467018112
Bambalapitiya,6.904361,79.8540397,Cloud Cafe,6.897779499981552,79.8563916122503,Café,0.7278501146650331
Kollupitiya,6.912815400000001,79.8506815,Cloud Red,6.912163047929764,79.85536624888398,Cocktail Bar,0.07214385089894934
Bambalapitiya,6.904361,79.8540397,Club Fuga,6.906083,79.851428,Nightclub,0.19043654358166526
Kollupitiya,6.912815400000001,79.8506815,Coco Fresh bar,6.9099757602337375,79.85194777617963,Fondue Restaurant,0.314036772270246
Nawala,6.896419099999999,79.8884819,Coco Veranda,6.8960781346018,79.88978481289892,Coffee Shop,0.0377074608309236
Cinnamon Gardens,6.9116652,79.86456779999997,Coco Veranda,6.916424488630391,79.86833776026076,Café,0.526331481689276
Maha Nuge Gardens,6.916688400000001,79.8491938,Coco Veranda,6.917147383618617,79.84888958497095,Coffee Shop,0.05075917346030655
Cinnamon Gardens,6.9116652,79.86456779999997,Cocoon Cafe,6.906847121569227,79.86120415774172,Café,0.5328329605008383
Panchikawatte,6.9309682,79.8639835,CodeGen International,6.9299012675906475,79.86117068921527,IT Services,0.11799252903292938
Maha Nuge Gardens,6.916688400000001,79.8491938,Coffee Stop - Cinnamon Grand,6.917825860678314,79.84854699921692,Coffee Shop,0.12579221208340294
Maha Nuge Gardens,6.916688400000001,79.8491938,Colombo City Center,6.917431735647961,79.85554554652326,Shopping Mall,0.08220577334046177
Kalubowila,6.863141400000001,79.87868329999998,Colombo City Hostel,6.866062353755172,79.88206537282653,Hostel,0.32302868434448784
Fort (Colombo),6.9337011,79.8500302,Colombo City Hotel,6.93300577789168,79.84410468398669,Hotel,0.07689599021546806
Bambalapitiya,6.904361,79.8540397,Colombo Court Hotel & Spa,6.89786657357781,79.8562878370285,Hotel,0.7182206201367796
Kotahena,6.9487664,79.86048309999998,Colombo Dry Dock NO3,6.953486066483407,79.85685961001863,Boat or Ferry,0.521950466814029
Kotahena,6.9487664,79.86048309999998,Colombo Dry Dock No4,6.954426457609795,79.85500539752499,Harbor / Marina,0.6259488420466649
"Pettah, Sri Lanka",6.936785799999999,79.8525385,Colombo Gold Centre,6.940518378156284,79.8528652312676,Jewelry Store,0.4127876186585029
Colombo,6.927078599999999,79.861243,Colombo Malay Cricket Club,6.927190734376639,79.8532521885664,Cricket Ground,0.012400988799644758
Bambalapitiya,6.904361,79.8540397,Colombo Marina,6.906473887973957,79.84982542931009,Casino,0.233664974463663
Madampitiya,6.9616629,79.87518359999999,Colombo Port,6.959175987216746,79.8760995485772,Harbor / Marina,0.2750291362841573
Cinnamon Gardens,6.9116652,79.86456779999997,Colombo Racecourse,6.90537790060233,79.86369087069826,Playground,0.6953145941355984
Fort (Colombo),6.9337011,79.8500302,Colombo Rowing Club,6.930958010677554,79.84773768685899,Water Park,0.3033594906639916
Maha Nuge Gardens,6.916688400000001,79.8491938,Colombo Swimming Club,6.914849794882957,79.84766898432615,Pool,0.20333203143440984
Union Place,6.9229583,79.8523572,"Colombo, Sri Lanka",6.922959157445847,79.84670861493827,Dive Spot,9.482528719359286e-05
Havelock Town,6.8866519,79.8646835,Colts Cricket Club,6.885604585841214,79.86742859769832,Cricket Ground,0.11582272318509741
Wellawatte,6.8740921,79.8604934,Commercial Bank,6.871715785250924,79.86190489975831,Bank,0.2627970712925646
Maharagama,6.8510951,79.92120109999998,Cool Planet,6.850174128217213,79.92183482397363,Clothing Store,0.10185033915855456
Kohuwala,6.862484200000001,79.8854983,Cool Planet,6.868807386724996,79.88681245818262,Clothing Store,0.6992821347293767
Havelock Town,6.8866519,79.8646835,Cool Planet,6.888413241784764,79.86652352687263,Clothing Store,0.1947872204482217
Pelawatte,6.8905834000000015,79.924918,Cool Planet,6.892769809710118,79.92822863897287,Clothing Store,0.24179562851366365
Wattala,6.9906677,79.8931709,Cool Planet,6.9933531953721175,79.8948072490736,Clothing Store,0.2969908972073968
Pamankada,6.8776324,79.8713074,Cooray Park,6.879259161380421,79.86355961046833,Soccer Field,0.17990387230606592
Ratmalana,6.8195453,79.8800832,Cornish Bakery,6.82147001122388,79.87238095679271,Bakery,0.2128536942629929
Ratmalana,6.8195453,79.8800832,Cosmos Aviation,6.819605262571697,79.88771913540458,Airport,0.006631256810432462
Havelock Town,6.8866519,79.8646835,Cotton Collection,6.8885421628383074,79.87144034692977,Clothing Store,0.20904463197688844
Cinnamon Gardens,6.9116652,79.86456779999997,Cotton Collection,6.914796921702945,79.85918679396994,Boutique,0.3463382442133033
Maha Nuge Gardens,6.916688400000001,79.8491938,Crescat Boulevard,6.917254901545847,79.84877602718447,Shopping Mall,0.06264962218612483
Maha Nuge Gardens,6.916688400000001,79.8491938,Crescat Food Court,6.917250806478207,79.84875085680761,Food Court,0.062196747087647414
Cinnamon Gardens,6.9116652,79.86456779999997,Cricket Club Cafe,6.911000705680048,79.85627249057994,Restaurant,0.07348666311873464
Nawala,6.896419099999999,79.8884819,Crossroads Restaurant,6.889904074743099,79.88797277974487,Asian Restaurant,0.7204984121680753
Modara,6.9669247,79.87115329999997,Crow Island Beach,6.973375,79.86941,Beach,0.713342734870304
Kirulapana,6.8814717000000005,79.87634759999997,Crusty's,6.87964526249389,79.86945173811088,Sandwich Place,0.20198611349413811
Fort (Colombo),6.9337011,79.8500302,Curry Leaf Restaurant - Hilton Colombo,6.932145733336693,79.84498552863845,Seafood Restaurant,0.17200870809589447
Pamankada,6.8776324,79.8713074,Curry Leaves,6.87611902427202,79.86420278371226,Indian Restaurant,0.1673645189631488
Union Place,6.9229583,79.8523572,Currymuch,6.919064592031088,79.85639469314279,Fast Food Restaurant,0.43060672342025796
Cinnamon Gardens,6.9116652,79.86456779999997,Curve,6.9167226281231615,79.85900773181444,Tapas Restaurant,0.5593028414432311
Boralesgamuwa,6.840989100000002,79.9017187,D & A,6.8366431908394745,79.90372704383131,Clothing Store,0.48061418735351974
Maharagama,6.8510951,79.92120109999998,D.I.B Chinese Restaurant,6.842980000000001,79.92211400000001,Chinese Restaurant,0.8974493891882587
Borella,6.9121796,79.8828828,D.S. Senanayake College Swimming Pool Complex,6.9078137647538975,79.87601636064586,Pool,0.48281924522029906
Bambalapitiya,6.904361,79.8540397,DRIFT BED & BREAKFAST,6.898717698692665,79.85371267846594,Bed & Breakfast,0.6240944424041711
Battaramulla,6.897994099999999,79.9222869,DSI,6.902007315333528,79.91734896237838,Shoe Store,0.44382270027345416
Bambalapitiya,6.904361,79.8540397,Dao Krua Thai,6.899298127599461,79.8536285085752,Thai Restaurant,0.5599046363186237
Sri Jayawardenepura Kotte,6.8867616,79.9187142,Decathlon,6.892875,79.92436,Sporting Goods Shop,0.6760824715662471
Havelock Town,6.8866519,79.8646835,Deen's Kitchen,6.8879320035785225,79.86444561322719,Fast Food Restaurant,0.14156696763757712
Cinnamon Gardens,6.9116652,79.86456779999997,Delifrance,6.916704755503081,79.86544377840218,Bakery,0.5573263015879517
Nugegoda,6.864908099999999,79.89967890000001,Delkanda Pola,6.86133819345421,79.89984014567925,Fair,0.3947964399471297
Dematagoda,6.9352993000000005,79.88078309999999,Dematagoda Cargills,6.929275464732917,79.87793691242706,Department Store,0.6661786695347555
"Pettah, Sri Lanka",6.936785799999999,79.8525385,Devi Jewellers,6.940840697182423,79.85405708130331,Jewelry Store,0.44843303826345793
Kotahena,6.9487664,79.86048309999998,Dharbar Hotel,6.949648918934147,79.86270521747066,Asian Restaurant,0.09759823793795883
Colombo,6.927078599999999,79.861243,Dhavalagiri Hotel,6.9271358777887135,79.86541889338295,Vegetarian / Vegan Restaurant,0.00633437520939483
Cinnamon Gardens,6.9116652,79.86456779999997,Dialog Axiata PLC Head Office,6.918322692179319,79.86282945887005,Office,0.736254540237586
Havelock Town,6.8866519,79.8646835,Dialog Bambalapitiya Service Centre,6.884161438851148,79.85844304377761,Electronics Store,0.27542068551505505
Malabe,6.906078699999999,79.9696277,Dimo Juice Bar,6.905373158232037,79.9625670673543,Juice Bar,0.07802609667610721
Havelock Town,6.8866519,79.8646835,Dindigul Thalappakatti,6.888473831490336,79.85855614286744,South Indian Restaurant,0.20148785111919965
Kalubowila,6.863141400000001,79.87868329999998,Dinemore,6.867655212300487,79.88532723329018,Fast Food Restaurant,0.49918315020785187
Wellawatte,6.8740921,79.8604934,Dinemore,6.87121176533509,79.85841785574934,Fast Food Restaurant,0.31853672020122964
Battaramulla,6.897994099999999,79.9222869,Dinemore,6.899237913721367,79.9221454901277,Fast Food Restaurant,0.13755372852410735
Kollupitiya,6.912815400000001,79.8506815,Dinemore,6.91264375467992,79.85287765431394,Fast Food Restaurant,0.01898231809019915
Union Place,6.9229583,79.8523572,Dinemore,6.918468939983123,79.85633576058042,Diner,0.4964801157187771
Wattala,6.9906677,79.8931709,Dinemore,6.9854323079198775,79.88919726038101,Fast Food Restaurant,0.5789857418890598
Moratuwa,6.788070599999998,79.8912813,Dislin @ Moratuwa,6.788603716276887,79.8855046193328,Chinese Restaurant,0.05895721760601276
Borella,6.9121796,79.8828828,Divine,6.910837536718727,79.8873675567877,Cupcake Shop,0.14841925656708185
Kotahena,6.9487664,79.86048309999998,Dockland Junction,6.957332359320887,79.86120236223577,Bus Station,0.9473141469159593
Havelock Town,6.8866519,79.8646835,Dolce Italia,6.8922204785027805,79.86242119902843,Bakery,0.6158305128417491
Rajagiriya,6.909410799999999,79.8942538,Dolce Italia,6.9066615,79.89506999999999,Italian Restaurant,0.3040460226068646
Havelock Town,6.8866519,79.8646835,Domenico's,6.8916585357994204,79.86900674573171,Pizza Place,0.5536851198668302
Kottawa,6.8411652,79.9654324,Domino's Pizza,6.84205,79.962689,Pizza Place,0.09785006231599878
Kohuwala,6.862484200000001,79.8854983,Domino's Pizza,6.870443655329321,79.88708849481439,Pizza Place,0.88023734637875
Pelawatte,6.8905834000000015,79.924918,Domino's Pizza,6.88859769473816,79.9304659847759,Pizza Place,0.21959965133179515
Rajagiriya,6.909410799999999,79.8942538,Domino's Pizza,6.9074887670076786,79.90022823953319,Pizza Place,0.21255828638270563
Wattala,6.9906677,79.8931709,Domino's Pizza,6.983446921434737,79.88851194539505,Pizza Place,0.7985510148992572
Kiribathgoda,6.9778284,79.92715229999997,Dominos Pizza,6.979392248693965,79.92832051898225,Pizza Place,0.17294707269985407
Dalugama,6.9752231,79.92066940000002,Don & Sons,6.972734191852652,79.92207951817923,Bakery,0.2752499622924641
Kelaniya,6.9516076,79.91866230000002,Don & Sons Bakers,6.950191081804309,79.91455587619339,Bakery,0.1566535112221383
Kadawatha,7.0046719,79.9542002,Don and Sons,7.0015193100824,79.95189715601093,Bakery,0.34864738842040033
Malabe,6.906078699999999,79.9696277,Don's Bakers And Restaurants,6.9115590849026525,79.97173707983362,Asian Restaurant,0.6060776512614365
Borella,6.9121796,79.8828828,Dress Factory,6.911156010678204,79.8760886117728,Women's Store,0.11319910864406767
Koswatte,6.908863,79.93135670000002,Dress Master,6.905155000000001,79.92803,Men's Store,0.4100689642314561
Bambalapitiya,6.904361,79.8540397,Dutch Burgher Union,6.897017296565237,79.85892337657941,Lounge,0.8121424123547137
Bambalapitiya,6.904361,79.8540397,Dutch Burgher Union Hall,6.897048359726168,79.85891164980153,Gastropub,0.8087071283973675
Fort (Colombo),6.9337011,79.8500302,Dutch Hospital,6.9333767151236225,79.84356774447495,Shopping Mall,0.03587387223250915
Nawala,6.896419099999999,79.8884819,Dvd store,6.890741605174734,79.88883453500034,Video Store,0.6278757053022145
Borella,6.9121796,79.8828828,EAP Restaurant,6.913993901355357,79.87853918147955,Bar,0.2006442467405541
Hulftsdorp,6.9362635,79.8639835,Eat More,6.943315991391622,79.8685851466711,Fast Food Restaurant,0.7799384619774195
Pamankada,6.8776324,79.8713074,Eat Right,6.8720729739459685,79.87460631933577,Café,0.6148179672902058
Slave Island,6.9257119000000005,79.8503314,Echelon Pub - Hilton Colombo,6.932677878909849,79.84501714031656,Pub,0.7703706615152451
Maha Nuge Gardens,6.916688400000001,79.8491938,Echo,6.918112432690911,79.84763342084001,Italian Restaurant,0.15748432166476073
Fort (Colombo),6.9337011,79.8500302,El Rancho Tequila Bar & Grill,6.934222974320412,79.84365463256836,Bar,0.05771432143709227
Kirulapana,6.8814717000000005,79.87634759999997,Elegant Smockers,6.882348624630092,79.86954046257064,Kids Store,0.09697928741043114
Bloemendhal,6.9529494000000005,79.8702837,Ellie House Park,6.959871697004672,79.86453311918928,Playground,0.7655407368484306
Boralesgamuwa,6.840989100000002,79.9017187,Emcee Travels (Limousine Service),6.835863590240479,79.90333557128906,Rental Car Location,0.566830225175606
Bambalapitiya,6.904361,79.8540397,Empressions,6.896914947904304,79.85427245322606,Paper / Office Supplies Store,0.8234611803568861
Bambalapitiya,6.904361,79.8540397,Envoy Mansion,6.9007867769060525,79.85516534227318,Men's Store,0.39527445795695093
Pamankada,6.8776324,79.8713074,Eros Cinema,6.874112724823547,79.87069673330144,Movie Theater,0.38924155270974786
Borella,6.9121796,79.8828828,Estheti Centre,6.914401823459357,79.87486914956204,Cosmetics Shop,0.24575650268096316
Maha Nuge Gardens,6.916688400000001,79.8491938,Etisalat Lanka Head Office,6.915895249073694,79.84870363360018,Office,0.08771486118330203
Union Place,6.9229583,79.8523572,Excel World,6.922022824737736,79.86123095187055,General Entertainment,0.10345459025875493
Union Place,6.9229583,79.8523572,Excel World Bowling Lounge,6.92213068564428,79.86126399729473,Bowling Alley,0.09152620888081497
Maradana,6.926997,79.8639835,Excel World Pool Parlour,6.922169489368143,79.86108853176353,Pool Hall,0.5338764138182276
Maha Nuge Gardens,6.916688400000001,79.8491938,Executive Lounge,6.918570358990259,79.84899710627572,Hotel,0.20812656880550925
Pelawatte,6.8905834000000015,79.924918,Expographics,6.8883274847231775,79.93160147124604,Bookstore,0.24948224439464128
Havelock Town,6.8866519,79.8646835,FDO'S,6.887008345530609,79.86614542421026,Bar,0.03941939759419961
"Kaduwela, Western Province",6.929061,79.98277540000002,FIt And FUN,6.937157091618338,79.97976393729064,Gym,0.8953504685608576
Havelock Town,6.8866519,79.8646835,Factory Outlet,6.889636759678315,79.86388201803288,Department Store,0.33009637314168994
Wellawatte,6.8740921,79.8604934,Fair View Hotel Colombo,6.865678,79.86131999999999,Hotel,0.9305167004919237
Wellawatte,6.8740921,79.8604934,Fancy Point,6.877347112567642,79.86047004513317,Cosmetics Shop,0.35997246175436326
Rajagiriya,6.909410799999999,79.8942538,Fashion Bug,6.906616267676884,79.90230773300217,Clothing Store,0.30904828032081566
Borella,6.9121796,79.8828828,Fashion Bug,6.916429525957519,79.87584926460896,Clothing Store,0.4700008812960507
Wattala,6.9906677,79.8931709,Fashion Bug,6.987689578815558,79.89049477105016,Clothing Store,0.3293525603055756
"Kaduwela, Western Province",6.929061,79.98277540000002,Fashions Day,6.9334293671279275,79.9830291041914,Boutique,0.48309967734918124
Moratuwa,6.788070599999998,79.8912813,Fitness Club,6.792956433297513,79.88740150697312,Gym,0.5403233313175129
Borella,6.9121796,79.8828828,Fitness Kingdom,6.910950935888497,79.87583159647845,Gym,0.13587840229103204
Kottawa,6.8411652,79.9654324,Fitness Kingdom Kottawa,6.8424506116415005,79.96181698670729,Gym / Fitness Center,0.14215371865594692
Ratmalana,6.8195453,79.8800832,Five Star Bakers,6.819677260206696,79.87965393801821,Bakery,0.014593470491574782
Dehiwala,6.8301185,79.8800832,Five Star Bakers,6.831720338279641,79.87262769601195,Bakery,0.17714727178601916
Kotahena,6.9487664,79.86048309999998,Flag & Whistle,6.952660070297783,79.85841603115249,German Restaurant,0.430603094804119
Cinnamon Gardens,6.9116652,79.86456779999997,Flamingo House,6.911262084569769,79.87030700090472,Restaurant,0.04458067900961857
Kollupitiya,6.912815400000001,79.8506815,Flavoured,6.9121155509486565,79.85529248462188,Buffet,0.07739655910548997
Union Place,6.9229583,79.8523572,Flow,6.920751244802943,79.85599623865117,Restaurant,0.24407912663422363
Dematagoda,6.9352993000000005,79.88078309999999,Flower Dream Restaurant,6.939513352016294,79.87580994235924,Chinese Restaurant,0.4660340206650938
Pelawatte,6.8905834000000015,79.924918,Flower Drum,6.890326066599912,79.929005248802,Chinese Restaurant,0.028458567371635435
Bambalapitiya,6.904361,79.8540397,Flower Drum,6.905406636039665,79.85825386255965,Chinese Restaurant,0.11563723020942214
Union Place,6.9229583,79.8523572,Food Studio,6.917403247214477,79.85497069759764,Food Court,0.6143354905377331
Colombo,6.927078599999999,79.861243,Food Waves,6.918279117331887,79.86070275306702,Indian Restaurant,0.9731383798653496
Kirulapana,6.8814717000000005,79.87634759999997,Foot Comfort,6.880520318938287,79.86981066187816,Spa,0.10521343652318754
Maha Nuge Gardens,6.916688400000001,79.8491938,Foot Rub,6.91726382169181,79.84887048295276,Spa,0.06363610454493943
Slave Island,6.9257119000000005,79.8503314,Fort Railway Station,6.933479941881617,79.85024662076322,Train Station,0.8590711716529038
Union Place,6.9229583,79.8523572,Fountain Cafe,6.921525121987224,79.85616415967698,Diner,0.1584957384903035
Narahenpita,6.897593400000001,79.881483,Fresh Caravan Bakers,6.8927086620865925,79.87549802231803,Bakery,0.5402045370763109
Pamankada,6.8776324,79.8713074,Fresh Milk Shop,6.880748178399888,79.86297440623177,Food & Drink Shop,0.34457457838021305
Cinnamon Gardens,6.9116652,79.86456779999997,Fresheez,6.9085057095167945,79.86625895811675,Juice Bar,0.3494091577114695
Havelock Town,6.8866519,79.8646835,Furniture Factory,6.887628312368284,79.8641776664731,Furniture / Home Store,0.10798168178339085
Maradana,6.926997,79.8639835,Futsal World,6.920989164422387,79.86127735421849,Athletics & Sports,0.6644090253089534
Havelock Town,6.8866519,79.8646835,Futureworld,6.887093815922276,79.8597900492195,Electronics Store,0.048871589004661466
Fort (Colombo),6.9337011,79.8500302,Galadari Hotel,6.931566391880809,79.84308233182263,Hotel,0.23607834084310042
Kohuwala,6.862484200000001,79.8854983,Galle Caterers,6.857142686516896,79.87862591398354,Asian Restaurant,0.5907186056017347
Union Place,6.9229583,79.8523572,Galle Face Green,6.9239346152538745,79.84489917755127,Park,0.10797110589339037
Union Place,6.9229583,79.8523572,Galle Face Hotel,6.920009270772899,79.84592755477581,Hotel,0.32613432954978994
Union Place,6.9229583,79.8523572,Galle Face Hotel Travellers Bar,6.9200633304949655,79.84584423644216,Hotel Bar,0.3201558434841604
Havelock Town,6.8866519,79.8646835,Galleria,6.886825217048695,79.86498128200849,Department Store,0.01916717433527982
Maradana,6.926997,79.8639835,Game Zone,6.922083547836852,79.86127947965258,Arcade,0.5433807226212699
Pamankada,6.8776324,79.8713074,Gandhara,6.877517036780773,79.87290797878488,Art Gallery,0.012758041441584145
Union Place,6.9229583,79.8523572,Gangarama Lake Walk,6.91707974013267,79.8550129509001,Trail,0.650112262600371
Havelock Town,6.8866519,79.8646835,Genelle - A Treat for Your Feet,6.8883722412085415,79.86796448402929,Shoe Store,0.19025295649415622
Cinnamon Gardens,6.9116652,79.86456779999997,Gerard Mendis Chocolatier,6.9112462751295265,79.87028427041783,Café,0.046329050621589166
Narahenpita,6.897593400000001,79.881483,German Artisan Bakery & Deli,6.89618724639814,79.87480827771984,German Restaurant,0.15550693286279882
Bambalapitiya,6.904361,79.8540397,Gflock,6.907548399137068,79.85100430601184,Clothing Store,0.3524955245579928
Havelock Town,6.8866519,79.8646835,Giordano / Levis Store,6.888820960658536,79.85927328442412,Clothing Store,0.23987695284924687
Havelock Town,6.8866519,79.8646835,Giovanni's,6.891395939684501,79.86802727177438,Pizza Place,0.5246445461983316
Union Place,6.9229583,79.8523572,Glassé,6.921614419443282,79.84770901529195,Lounge,0.14862029683674471
Nugegoda,6.864908099999999,79.89967890000001,Glitz,6.866891511245832,79.89330695507856,Clothing Store,0.21934573894448292
Colombo,6.927078599999999,79.861243,Glitz,6.918414026870544,79.86064103148651,Clothing Store,0.9582186816313221
Wellawatte,6.8740921,79.8604934,Global Towers,6.87769882209316,79.85710168991123,Hotel,0.398868088301411
Havelock Town,6.8866519,79.8646835,Glory Swim Shop,6.890678995159908,79.86550127612584,Sporting Goods Shop,0.445357463587721
Cinnamon Gardens,6.9116652,79.86456779999997,Goethe Institute,6.909779008607397,79.87092709912119,Art Gallery,0.20859457144837462
Union Place,6.9229583,79.8523572,Golden Dragon,6.922733575607097,79.84639018240959,Chinese Restaurant,0.024852362508399138
Borella,6.9121796,79.8828828,Gonuts With Donuts,6.911398355766796,79.87611280409955,Donut Shop,0.08639807918821166
Cinnamon Gardens,6.9116652,79.86456779999997,Good Market,6.905724593789487,79.86316149731053,Organic Grocery,0.6569736805728009
Cinnamon Gardens,6.9116652,79.86456779999997,Good Market at Racecourse,6.905960224230966,79.86408465021528,Outlet Store,0.6309152322552929
Slave Island,6.9257119000000005,79.8503314,Goodies,6.928913112313907,79.84959751099737,Coffee Shop,0.3540234452247585
Kotikawatta,6.9345136,79.90597659999997,Gothatuwa,6.931772913402465,79.89848358726486,Rest Area,0.30309378258688224
Hulftsdorp,6.9362635,79.8639835,Grand Stand-R Premadasa Stadium,6.940005330692027,79.87160987619363,Athletics & Sports,0.4138108520438755
Fort (Colombo),6.9337011,79.8500302,Graze Kitchen,6.9320553882149945,79.84495602644061,Buffet,0.1820000159306403
Pelawatte,6.8905834000000015,79.924918,Great Wall,6.8911228916957405,79.92829051664782,Chinese Restaurant,0.05966252736617096
Hulftsdorp,6.9362635,79.8639835,Great Wall Restaurant,6.930080204694532,79.86151411329836,Asian Restaurant,0.6838134527814166
Union Place,6.9229583,79.8523572,Green Apple,6.918613849239283,79.85026381218185,Food & Drink Shop,0.4804545447145829
Kohuwala,6.862484200000001,79.8854983,Green Cabin,6.8544261840764,79.88547189031338,Bakery,0.8911368803372568
Nugegoda,6.864908099999999,79.89967890000001,Green Cabin,6.860300751706041,79.89470108520565,Bakery,0.5095272499387834
Nawala,6.896419099999999,79.8884819,Green Cabin,6.893648024319219,79.88878760465157,Snack Place,0.30645403592224035
Bambalapitiya,6.904361,79.8540397,Green Cabin,6.8982080505135785,79.85413325606913,Restaurant,0.6804565853967246
Union Place,6.9229583,79.8523572,Green Cabin,6.9226154895326175,79.85763081964762,Cupcake Shop,0.03791154968048043
Havelock Town,6.8866519,79.8646835,Greenlands Hotel,6.888777940692742,79.85648451647158,Vegetarian / Vegan Restaurant,0.23511936401754288
Union Place,6.9229583,79.8523572,Ground Zero,6.922167816822205,79.8610520211578,Arcade,0.08741985684995944
Kollupitiya,6.912815400000001,79.8506815,Gunasiri Hotel,6.9132786898719765,79.85127241542591,Asian Restaurant,0.05123539535255455
Welikada,6.9230071,79.8940806,Gym,6.931784160674673,79.89307183094354,Stadium,0.970658914557917
Dematagoda,6.9352993000000005,79.88078309999999,HNB Orion City,6.941195396591941,79.88074574471267,ATM,0.6520521549086783
Dematagoda,6.9352993000000005,79.88078309999999,HSBC ATM,6.94138055427742,79.8804351032542,ATM,0.6725288349232125
Maradana,6.926997,79.8639835,Hadaramout Arabic Foods,6.922516181764054,79.86467896224123,Diner,0.4955355607893439
Kohuwala,6.862484200000001,79.8854983,Hameedia,6.871460759653046,79.8850653430854,Men's Store,0.9927190855311973
Wellawatte,6.8740921,79.8604934,Hameedia,6.87850488587237,79.85991386609848,Clothing Store,0.488010844498929
Wattala,6.9906677,79.8931709,Hameedia,6.986868038172612,79.88960546468678,Men's Store,0.4202073226302957
Mattakkuliya,6.971672200000001,79.87868329999998,Hamilton Canal,6.979236985281547,79.87772215758021,Lake,0.8365945507444443
Havelock Town,6.8866519,79.8646835,Hansa Coffee,6.890643703724307,79.86904828121487,Coffee Shop,0.441454574549702
Fort (Colombo),6.9337011,79.8500302,Harbour Court,6.933038658584904,79.8417147133742,Restaurant,0.07325969935252734
Rajagiriya,6.909410799999999,79.8942538,Harcourts Pharmacy,6.906803245078798,79.89533884204944,Pharmacy,0.2883703869610473
Havelock Town,6.8866519,79.8646835,Havelock Grounds,6.887222283007262,79.86674808492214,Athletics & Sports,0.06307879525432306
Havelock Town,6.8866519,79.8646835,Havelock Sports Club,6.887810484572627,79.86627945654334,Athletics & Sports,0.1281281507484098
Sri Jayawardenepura Kotte,6.8867616,79.9187142,Havi Nature Resort,6.8787338150325406,79.9196500487273,Chinese Restaurant,0.8877945334401349
Koswatte,6.908863,79.93135670000002,Hawai Restaurant,6.903444265670212,79.92841243104962,Chinese Restaurant,0.5992596263567328
Rajagiriya,6.909410799999999,79.8942538,Hayath Food,6.906435894556233,79.89523687363139,Restaurant,0.32899580385516963
Havelock Town,6.8866519,79.8646835,Hazari's Food On Fire,6.89152902818099,79.86876383762235,Mediterranean Restaurant,0.5393628381176248
Kottawa,6.8411652,79.9654324,Health First,6.842345156690137,79.96282792569424,Gym / Fitness Center,0.1304914515894879
Dematagoda,6.9352993000000005,79.88078309999999,Healthguard Pharmacy,6.9413794125490105,79.88043977882458,Convenience Store,0.6724025706132615
Rajagiriya,6.909410799999999,79.8942538,Hebrews Cafe,6.907616,79.90018,Café,0.1984875467483245
Pannipitiya,6.8463993,79.94843459999998,Hela Bojun,6.8460088502474346,79.94929094275132,Asian Restaurant,0.04317985974602119
Piliyandala,6.8017575,79.9227313,Helanka,6.800868511199951,79.92422485351562,Shoe Repair,0.09831313808023491
Maharagama,6.8510951,79.92120109999998,Helanka Shoe Shop,6.850324829288657,79.92818704310372,Shoe Store,0.08518429652878448
Wickramasinhapura,6.8823235999999985,79.93857940000002,Helara Bakers,6.874726,79.936497,Bakery,0.8402201338208268
Havelock Town,6.8866519,79.8646835,Henry Pedris Grounds,6.887783973668003,79.86468822683662,Athletics & Sports,0.12519630326416853
Wellawatte,6.8740921,79.8604934,Hertz Audio Studio,6.865767496007552,79.86232356705078,Music Venue,0.9206193240372565
Pamankada,6.8776324,79.8713074,High Octane Fitness Gym,6.872099169196429,79.87458777470725,Gym,0.6119210299753334
Kollupitiya,6.912815400000001,79.8506815,Highland Milk Shop,6.913544335133923,79.85181138144267,Snack Place,0.08061320188464342
Union Place,6.9229583,79.8523572,Hilton,6.9204953889496705,79.85608356745561,Hotel,0.27237432743819556
Fort (Colombo),6.9337011,79.8500302,Hilton,6.932087223668567,79.84497474523303,Hotel,0.17847931873812592
Fort (Colombo),6.9337011,79.8500302,Hilton Colombo Gym,6.931504410726409,79.8453986603363,Gym / Fitness Center,0.24293286455430685
Fort (Colombo),6.9337011,79.8500302,Hilton Executive Lounge,6.932035310628656,79.84498801076664,Lounge,0.18422040527150998
Fort (Colombo),6.9337011,79.8500302,Hilton Lobby,6.9322852251315545,79.84498594794441,Lounge,0.15658224739268725
Havelock Town,6.8866519,79.8646835,Hippie Chippie,6.886677378196176,79.86525177955626,Fish & Chips Shop,0.0028176398687570674
Fort (Colombo),6.9337011,79.8500302,Honey Beach Club,6.9332037001764775,79.84177625711975,Lounge,0.05500767437718365
